"",""
"Action","Action"
"Add Citylist","Add Citylist"
"Add Countylist","Add Countylist"
"Add Statetax","Add Statetax"
"An error occurred while updating the citylists.","An error occurred while updating the citylists."
"An error occurred while updating the countylists.","An error occurred while updating the countylists."
"An error occurred while updating the statetaxs.","An error occurred while updating the statetaxs."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Category","Category"
"Change status","Change status"
"City Tax","City Tax"
"City Zipcode","City Zipcode"
"City","City"
"Citylist was saved","Citylist was saved"
"Citylist was successfully deleted.","Citylist was successfully deleted."
"Citylist was successfully saved","Citylist was successfully saved"
"Citylist","Citylist"
"Citylists","Citylists"
"Could not find citylist to delete.","Could not find citylist to delete."
"Could not find countylist to delete.","Could not find countylist to delete."
"Could not find statetax to delete.","Could not find statetax to delete."
"County Tax","County Tax"
"County","County"
"Countylist was saved","Countylist was saved"
"Countylist was successfully deleted.","Countylist was successfully deleted."
"Countylist was successfully saved","Countylist was successfully saved"
"Countylist","Countylist"
"Countylists","Countylists"
"Created at","Created at"
"Delete Citylist","Delete Citylist"
"Delete Countylist","Delete Countylist"
"Delete Statetax","Delete Statetax"
"Delete","Delete"
"Disabled","Disabled"
"Edit Citylist '%s'","Edit Citylist '%s'"
"Edit Countylist '%s'","Edit Countylist '%s'"
"Edit Statetax '%s'","Edit Statetax '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving citylist","Error saving citylist"
"Error saving countylist","Error saving countylist"
"Error saving statetax","Error saving statetax"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Name","Name"
"No","No"
"None","None"
"Please select citylists to delete.","Please select citylists to delete."
"Please select citylists.","Please select citylists."
"Please select countylists to delete.","Please select countylists to delete."
"Please select countylists.","Please select countylists."
"Please select statetaxs to delete.","Please select statetaxs to delete."
"Please select statetaxs.","Please select statetaxs."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Citylist","Save Citylist"
"Save Countylist","Save Countylist"
"Save Statetax","Save Statetax"
"State Tax","State Tax"
"State","State"
"Statetax was saved","Statetax was saved"
"Statetax was successfully deleted.","Statetax was successfully deleted."
"Statetax was successfully saved","Statetax was successfully saved"
"Statetax","Statetax"
"Statetaxs","Statetaxs"
"Status","Status"
"Store views","Store views"
"The citylists has been deleted.","The citylists has been deleted."
"The countylists has been deleted.","The countylists has been deleted."
"The statetaxs has been deleted.","The statetaxs has been deleted."
"There was a problem saving the citylist.","There was a problem saving the citylist."
"There was a problem saving the countylist.","There was a problem saving the countylist."
"There was a problem saving the statetax.","There was a problem saving the statetax."
"There was an error deleting citylist.","There was an error deleting citylist."
"There was an error deleting citylists.","There was an error deleting citylists."
"There was an error deleting countylist.","There was an error deleting countylist."
"There was an error deleting countylists.","There was an error deleting countylists."
"There was an error deleting statetax.","There was an error deleting statetax."
"There was an error deleting statetaxs.","There was an error deleting statetaxs."
"There was an error updating citylists.","There was an error updating citylists."
"There was an error updating countylists.","There was an error updating countylists."
"There was an error updating statetaxs.","There was an error updating statetaxs."
"This citylist no longer exists.","This citylist no longer exists."
"This countylist no longer exists.","This countylist no longer exists."
"This statetax no longer exists.","This statetax no longer exists."
"Total of %d citylists were successfully deleted.","Total of %d citylists were successfully deleted."
"Total of %d citylists were successfully updated.","Total of %d citylists were successfully updated."
"Total of %d countylists were successfully deleted.","Total of %d countylists were successfully deleted."
"Total of %d countylists were successfully updated.","Total of %d countylists were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d statetaxs were successfully deleted.","Total of %d statetaxs were successfully deleted."
"Total of %d statetaxs were successfully updated.","Total of %d statetaxs were successfully updated."
"Unable to find citylist to save.","Unable to find citylist to save."
"Unable to find countylist to save.","Unable to find countylist to save."
"Unable to find statetax to save.","Unable to find statetax to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"
"Zipcodes","Zipcodes"