store,websites,attribute_set,type,has_options,sku,cost
admin,base,Default,simple,0,762446454006,12.99
admin,base,Default,simple,0,762446404001,12.99
admin,base,Default,simple,0,799953210207,8.99
admin,base,Default,simple,0,799953209201,8.99
admin,base,Default,simple,0,799953231202,8.99
admin,base,Default,simple,0,799953221203,8.99
admin,base,Default,simple,0,042037104627,15.95
admin,base,Default,simple,0,042037104733,14.99
admin,base,Default,simple,0,042037104580,14.99
admin,base,Default,simple,0,042037104597,15.95
admin,base,Default,simple,0,716165171454,29.99
admin,base,Default,simple,0,716165174240,19.99
admin,base,Default,simple,0,716165177326,19.99
admin,base,Default,simple,0,716165174226,34.99
admin,base,Default,simple,0,716165179184,20.99
admin,base,Default,simple,0,716165179221,21.99
admin,base,Default,simple,0,716165174189,21.99
admin,base,Default,simple,0,716165201618,44
admin,base,Default,simple,0,022600957010,8.99
admin,base,Default,simple,0,022600973201,8.99
admin,base,Default,simple,0,022600647201,8.99
admin,base,Default,simple,0,816518018891,12.99
admin,base,Default,simple,0,816518019096,12.99
admin,base,Default,simple,0,816518019072,12.99
admin,base,Default,simple,0,816518017177,10.99
admin,base,Default,simple,0,816518017238,10.99
admin,base,Default,simple,0,816518017306,10.99
admin,base,Default,simple,0,816518017283,10.99
admin,base,Default,simple,0,688149210117,3.33
admin,base,Default,simple,0,688149210018,3.33
admin,base,Default,simple,0,688149210216,3.33
admin,base,Default,simple,0,20745527101048,1.33
admin,base,Default,simple,0,20745527101024,1.33
admin,base,Default,simple,0,20745527101031,1.33
admin,base,Default,simple,0,20745527101017,1.33
admin,base,Default,simple,0,688149240077,0.49
admin,base,Default,simple,0,688149240060,0.49
admin,base,Default,simple,0,688149240053,0.49
admin,base,Default,simple,0,688149240046,0.49
admin,base,Default,simple,0,688149240039,0.49
admin,base,Default,simple,0,688149240022,0.49
admin,base,Default,simple,0,688149240015,0.49
admin,base,Default,simple,0,688149240008,0.49
admin,base,Default,simple,0,20688149250025,3.65
admin,base,Default,simple,0,20688149250018,3.65
admin,base,Default,simple,0,20688149250049,3.65
admin,base,Default,simple,0,20688149250032,3.65
admin,base,Default,simple,0,688149230054,0.49
admin,base,Default,simple,0,688149230047,0.49
admin,base,Default,simple,0,688149230030,0.49
admin,base,Default,simple,0,688149230023,0.49
admin,base,Default,simple,0,688149230061,0.49
admin,base,Default,simple,0,688149230009,0.49
admin,base,Default,simple,0,688149230016,0.49
admin,base,Default,simple,0,10745527170009,11.99
admin,base,Default,simple,0,20688149260024,4.99
admin,base,Default,simple,0,20688149260017,4.99
admin,base,Default,simple,0,812319017224,7.69
admin,base,Default,simple,0,818892016241,7.69
admin,base,Default,simple,0,812319018870,7.69
admin,base,Default,simple,0,818892012434,7.69
admin,base,Default,simple,0,818892013844,7.69
admin,base,Default,simple,0,818892013097,7.69
admin,base,Default,simple,0,818892011314,7.69
admin,base,Default,simple,0,818892010782,7.69
admin,base,Default,simple,0,818892010089,7.69
admin,base,Default,simple,0,818892010201,7.69
admin,base,Default,simple,0,812319017255,7.69
admin,base,Default,simple,0,818892010027,7.69
admin,base,Default,simple,0,818892012465,7.69
admin,base,Default,simple,0,818892012496,7.69
admin,base,Default,simple,0,818892013943,8.19
admin,base,Default,simple,0,818892017095,8.19
admin,base,Default,simple,0,818892016302,8.19
